 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
14325,6,92000,year,"Los Angeles, CA, US",Project Architect,Boutique,6-10,Yes,Unpaid Overtime,10.0,"3,000",Full-time,8-10,36-40,Male,Licensed,Washington State University,Southern California Institute of Architecture (SCI-Arc),,2020-06-01,2020
14324,8,76000,year,"Los Angeles, CA, US",Intermediate Designer,Boutique,51-100,Yes,Unpaid Overtime,16.0,,Full-time,8-10,31-35,Female,Licensed,Arizona State University,,,2020-06-01,2020
14323,5,43160,year,"Fresno, CA, US",Designer,Corporate,31-50,Yes,Paid Overtime,14.0,"1,000",Full-time,2,21-25,Male,No,,,,2020-06-01,2020
14322,8,53800,year,"New York, NY, US",Designer,Boutique,2-5,Yes,Unpaid Overtime,10.0,"1,000",Full-time,2,31-35,Female,No,Pontificia Universidad Javeriana,Rhode Island School of Design (RISD),,2020-06-01,2020
14319,7,67500,year,"Houston, TX, US",Project Architect,,101-200,Yes,Unpaid Overtime,15.0,"5,000",Full-time,6-7,26-30,Female,Licensed,,,,2020-06-01,2020
14318,6,48000,year,"Houston, TX, US",Draftsperson,Corporate,51-100,Yes,Paid Overtime,7.0,"2,000",Full-time,< 1,26-30,Male,No,,,,2020-06-01,2020
14317,3,82000,year,"San Antonio, TX, US",Project Manager,Boutique,11-15,Yes,Unpaid Overtime,10.0,,Full-time,26-30,51-55,Male,No,University of Texas at San Antonio,,,2020-06-01,2020
14314,8,87000,year,"New York, NY, US",Senior Designer,Boutique,16-30,Yes,Paid Overtime,,"3,000",Full-time,8-10,36-40,Male,No,,,,2020-06-01,2020
14311,5,55000,year,"San Francisco, CA, US",Junior Designer,Individual,16-30,Yes,Paid Overtime,14.0,"2,500",Full-time,2,21-25,Male,No,"California Polytechnic State University, San Luis Obispo",,,2020-05-01,2020
14308,7,87000,year,"New York, NY, US",Project Manager,,201-500,Yes,Unpaid Overtime,17.0,,Full-time,3-5,41-45,Female,No,,,,2020-05-01,2020
14305,8,68000,year,"Los Angeles, CA, US",Intermediate Designer,Corporate,101-200,Yes,,,,,6-7,36-40,Male,No,,,,2020-05-01,2020
14304,8,73500,year,"Santa Barbara, CA, US",Designer,Boutique,11-15,Yes,Unpaid Overtime,14.0,"5,000",Full-time,2,26-30,Male,No,,,,2020-05-01,2020
14303,6,68500,year,"Denver, CO, US",Designer,,31-50,Yes,Paid Overtime,,"3,000",,8-10,36-40,Male,Licensed,,,,2020-05-01,2020
14302,9,43000,year,"New Orleans, LA, US",Job Captain,Boutique,11-15,Yes,No Overtime,15.0,"45,000",Full-time,3,21-25,Female,No,Tulane University,,,2020-05-01,2020
14300,8,60000,year,"Dallas, TX, US",Junior Designer,,6-10,,,,,,3-5,26-30,Female,No,,,,2020-05-01,2020
14299,7,86000,year,"Atlanta, GA, US",Project Manager,Corporate,51-100,Yes,No Overtime,22.0,"2,000",Full-time,11-15,31-35,Male,Licensed,Georgia Institute of Technology (Georgia Tech),Georgia Institute of Technology (Georgia Tech),,2020-05-01,2020
14296,9,54000,year,"Philadelphia, PA, US",Designer,Other,6-10,,,10.0,,Full-time,< 1,21-25,Female,No,,Massachusetts Institute of Technology (MIT),,2020-05-01,2020
14294,7,15000,year,"Lubbock, TX, US",Student Intern,,6-10,,,,,,2,21-25,Male,No,,,,2020-05-01,2020
14293,4,73000,year,"Chicago, IL, US",Technical Architect,Corporate,501+,Yes,Unpaid Overtime,10.0,,Full-time,8-10,31-35,Female,Licensed,,,,2020-05-01,2020
14292,9,155000,year,"San Francisco, CA, US",Principal,Corporate,501+,Yes,Unpaid Overtime,25.0,"50,000",Full-time,8-10,31-35,Male,Licensed,University of Cincinnati,,,2020-05-01,2020
14291,7,85000,year,"Minneapolis, MN, US",Project Architect,Corporate,501+,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Male,Licensed,,University of Minnesota-Twin Cities,,2020-05-01,2020
14290,7,62000,year,"Boston, MA, US",Designer,Corporate,51-100,Yes,Paid Overtime,14.0,,Full-time,1,21-25,Female,No,,University of Michigan,,2020-05-01,2020
14289,8,54000,year,"New York, NY, US",Designer,Corporate,16-30,,No Overtime,10.0,"3,000",Full-time,1,21-25,Female,No,Rensselaer Polytechnic Institute,,,2020-05-01,2020
14288,8,51000,year,"Salt Lake City, UT, US",Designer,Boutique,6-10,Yes,Paid Overtime,12.0,,Full-time,2,21-25,Male,No,Syracuse University,,,2020-05-01,2020
14286,8,85000,year,"Austin, TX, US",Project Architect,Boutique,31-50,Yes,Unpaid Overtime,15.0,"10,000",Full-time,6-7,26-30,Male,Licensed,Arizona State University,Arizona State University,,2020-05-01,2020
14285,8,65000,year,"Seattle, WA, US",Project Architect,,101-200,Yes,,10.0,"1,500",Full-time,6-7,26-30,Male,Licensed,Virginia Polytechnic Institute and State University (Virginia Tech),Columbia University,,2020-05-01,2020
14284,4,50500,year,"New York, NY, US",Junior Architect,Starchitect,201-500,Yes,Unpaid Overtime,18.0,,Full-time,1,21-25,Male,No,Cornell University,,,2020-05-01,2020
14283,8,58000,year,"Los Angeles, CA, US",Junior Architect,Starchitect,101-200,Yes,Unpaid Overtime,20.0,,Full-time,3,26-30,Female,No,,"University of California, Los Angeles (UCLA)",,2020-05-01,2020
14282,7,72000,year,"Brooklyn, NY, US",Project Architect,Other,11-15,Yes,No Overtime,10.0,"2,000",Full-time,3-5,31-35,Male,Licensed,,,,2020-05-01,2020
14281,5,80000,year,"New York, NY, US",Senior Architect,Boutique,2-5,Yes,Unpaid Overtime,14.0,,Full-time,11-15,46-50,Male,Licensed,,,,2020-05-01,2020
14280,8,70000,year,"Chicago, IL, US",Project Architect,Boutique,101-200,Yes,Unpaid Overtime,15.0,"1,000",Full-time,11-15,41-45,Male,No,University of Illinois at Chicago,,,2020-05-01,2020
14279,4,67000,year,"New York, NY, US",Designer,Boutique,51-100,Yes,Unpaid Overtime,13.0,"3,000",Full-time,2,26-30,Female,No,,,,2020-05-01,2020
14277,8,72000,year,"Los Angeles, CA, US",Job Captain,Corporate,101-200,Yes,Unpaid Overtime,15.0,"4,000",Full-time,3-5,31-35,Male,No,Southern California Institute of Architecture (SCI-Arc),,,2020-05-01,2020
14275,10,100000,year,"Detroit, MI, US",Principal,Individual,1,,Unpaid Overtime,10.0,,Full-time,16-20,41-45,Male,Licensed,Lawrence Technological University,Lawrence Technological University,,2020-05-01,2020
14271,8,55000,year,"Fayetteville, AR, US",Project Architect,Corporate,16-30,Yes,Unpaid Overtime,21.0,"5,000",Full-time,3-5,26-30,Male,Licensed,University of Arkansas,,,2020-05-01,2020
14270,9,70000,year,"Chicago, IL, US",Job Captain,Corporate,51-100,Yes,Paid Overtime,15.0,"9,000",Full-time,3-5,26-30,Female,No,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,,2020-05-01,2020
14267,8,60000,year,"Los Angeles, CA, US",Associate,,11-15,Yes,No Overtime,10.0,"1,500",Full-time,2,21-25,Female,No,"California Polytechnic State University, San Luis Obispo",,,2020-04-01,2020
14266,8,72000,year,"New York, NY, US",Marketing Director,Other,16-30,Yes,Unpaid Overtime,15.0,,Full-time,6-7,26-30,Other,No,,,,2020-04-01,2020
14263,8,45000,year,"Massachusetts, US",Designer,Boutique,2-5,Yes,Paid Overtime,,,Full-time,< 1,21-25,Male,No,Roger Williams University,Roger Williams University,,2020-04-01,2020
14262,10,55000,year,"Buffalo, NY, US",Junior Designer,Corporate,51-100,Yes,No Overtime,16.0,,Full-time,2,21-25,Male,No,,,,2020-04-01,2020
14261,6,181300,year,"New York, NY, US",Project Architect,Other,501+,Yes,No Overtime,25.0,"65,000",Full-time,11-15,41-45,Female,No,University of Virginia,Southern California Institute of Architecture (SCI-Arc),,2020-04-01,2020
14260,8,60000,year,"Pittsburgh, PA, US",Intermediate Architect,Corporate,51-100,Yes,Unpaid Overtime,15.0,"5,000",Full-time,6-7,26-30,Male,Licensed,Carnegie Mellon University,,,2020-04-01,2020
14257,9,90000,year,"Tampa, FL, US",Project Architect,Corporate,201-500,Yes,Unpaid Overtime,14.0,"8,000",Full-time,8-10,31-35,Female,Licensed,,,,2020-04-01,2020
14255,8,150000,year,"Denver, CO, US",Principal,,1,,,,,,11-15,41-45,Female,Licensed,,,,2020-04-01,2020
14253,8,55000,year,"Boston, MA, US",Designer,Individual,51-100,Yes,,14.0,,Full-time,< 1,21-25,Male,No,University of Cincinnati,,,2020-04-01,2020
14252,3,68000,year,"Indianapolis, IN, US",Project Architect,Other,16-30,Yes,Unpaid Overtime,20.0,"1,500",Full-time,6-7,36-40,Male,Licensed,Purdue University,Clemson University,,2020-04-01,2020
14251,6,60000,year,"Sacramento, CA, US",Associate,Individual,16-30,Yes,Paid Overtime,14.0,"2,000",,3-5,26-30,Female,No,"University of California, Berkeley",,,2020-04-01,2020
